screen_id	Unique patient identifier
a_ketamine	Treatment variable. Was ketamine (at least 20 mg) administered?
a_ketdose	Dosage of ketamine administered (mg)
age 	Age at screening, years
sex	Sex. 1=Male, 2=Female
weight Weight (kg)
ket_per_kg	Dosage of ketamine per kg of body mass, in mg/kg
ethnicity	1=Non-Hispanic/Non-Latino, 2=Hispanic/Latino
race___1	1=White
race___2	1=Black/African American
race___3	1=Asian
race___5	1=Native Hawaiian/Pacific Islander
race___6	1=American Indian/Alaska Native
race___98	1=Unknown
race___99	1=Other

surg_type	Type of surgery
2	Abdominal
6	Cardiology
17	Dental
16	Electroconvulsive Therapy
14	Gastroenterology
18	General Surgery
13	Gynecology
20	Ophthalmology
3	Neurosurgery - Spine
4	Neurosurgery - Other
1	Orthopedics - Joint
25	Orthopedics - Spine
11	Orthopedics - Other
9	Otolaryngology
8	Plastics
10	Pain
19	Podiatry
15	Interventional Radiology
26	Neuroradiology
7	Rad Oncology
22	Thoracic
5	Urology
21	Vascular
23	Transplant
24	Pulmonary
99	Other

surgeon_2	Name of the surgeon
a_los	Length of surgery (minutes)
day0	PHQ8 scores, preop. The 'before' score.
day7	PHQ scores, Day 7 after operation. The 'after' scores.
